-179;-90;2873
-179;-89;2447
-179;-88;2685
-179;-87;2648
-179;-86;2694
-179;-85;589
-179;-84;124
-179;-83;2360
-179;-82;318
-179;-81;1106
-179;-80;1477
-179;-79;2219
-179;-78;1445
-179;-77;282
-179;-76;2254
-179;-75;1007
-179;-74;2358
-179;-73;216
-179;-72;1762
-179;-71;1311
-179;-70;713
-179;-69;1822
-179;-68;2392
-179;-67;2969
-179;-66;146
-179;-65;567
-179;-64;2789
-179;-63;2601
-179;-62;2534
-179;-61;736
-179;-60;1487
-179;-59;259
-179;-58;2802
-179;-57;1670
-179;-56;2320
-179;-55;2766
-179;-54;154
-179;-53;2993
-179;-52;1827
-179;-51;2987
-179;-50;530
-179;-49;405
-179;-48;2406
-179;-47;1277
-179;-46;29
-179;-45;1057
-179;-44;275
-179;-43;466
-179;-42;2823
-179;-41;736
-179;-40;1949
-179;-39;1967
-179;-38;2097
-179;-37;1021
-179;-36;2364
-179;-35;1443
-179;-34;1889
-179;-33;1988
-179;-32;829
-179;-31;906
-179;-30;1539
-179;-29;1812
-179;-28;1376
-179;-27;2561
-179;-26;2793
-179;-25;480
-179;-24;559
-179;-23;833
-179;-22;1986
-179;-21;1772
-179;-20;1945
-179;-19;1612
-179;-18;1745
-179;-17;2933
-179;-16;2936
-179;-15;517
-179;-14;429
-179;-13;1073
-179;-12;1877
-179;-11;2572
-179;-10;1097
-179;-9;1958
-179;-8;2301
-179;-7;415
-179;-6;1455
-179;-5;311
-179;-4;2448
-179;-3;300
-179;-2;2205
-179;-1;1776
-179;0;2919
-179;1;194
-179;2;2148
-179;3;2138
-179;4;1967
-179;5;40
-179;6;1777
-179;7;2930
-179;8;1270
-179;9;2789
-179;10;2003
-179;11;2996
-179;12;777
-179;13;1047
-179;14;1464
-179;15;1958
-179;16;303
-179;17;999
-179;18;2011
-179;19;423
-179;20;62
-179;21;361
-179;22;630
-179;23;2654
-179;24;1256
-179;25;593
-179;26;1319
-179;27;14
-179;28;169
-179;29;1529
-179;30;627
-179;31;983
-179;32;2088
-179;33;1047
-179;34;1940
-179;35;2680
-179;36;1904
-179;37;1427
-179;38;2608
-179;39;808
-179;40;1298
-179;41;14
-179;42;2376
-179;43;2885
-179;44;80
-179;45;959
-179;46;1857
-179;47;1732
-179;48;2248
-179;49;55
-179;50;2410
-179;51;2910
-179;52;459
-179;53;1068
-179;54;1083
-179;55;1243
-179;56;1697
-179;57;282
-179;58;318
-179;59;1008
-179;60;2107
-179;61;1757
-179;62;1989
-179;63;1964
-179;64;1085
-179;65;1452
-179;66;496
-179;67;1473
-179;68;2054
-179;69;647
